cell_type,comparison,condition_a,condition_b,metric,gene_set,n_genes,similarity,n_cells_a,n_cells_b,low_cell_count_warning,expression_source
PR precursors,Control_vs_LD,Control,LD,pearson,hvg_2000,2000,0.6596513994969423,1175,1619,False,raw.X
PR precursors,Control_vs_LD,Control,LD,spearman,hvg_2000,2000,0.8087620061562133,1175,1619,False,raw.X
PR precursors,Control_vs_LD,Control,LD,cosine,hvg_2000,2000,0.6819422841072083,1175,1619,False,raw.X
PR precursors,Control_vs_NMDA,Control,NMDA,pearson,hvg_2000,2000,0.7201260628914817,1175,2140,False,raw.X
PR precursors,Control_vs_NMDA,Control,NMDA,spearman,hvg_2000,2000,0.8367340256189333,1175,2140,False,raw.X
PR precursors,Control_vs_NMDA,Control,NMDA,cosine,hvg_2000,2000,0.7409582138061523,1175,2140,False,raw.X
PR precursors,LD_vs_NMDA,LD,NMDA,pearson,hvg_2000,2000,0.9732413597346518,1619,2140,False,raw.X
PR precursors,LD_vs_NMDA,LD,NMDA,spearman,hvg_2000,2000,0.9351274459881805,1619,2140,False,raw.X
PR precursors,LD_vs_NMDA,LD,NMDA,cosine,hvg_2000,2000,0.9747553467750549,1619,2140,False,raw.X
RGC,Control_vs_LD,Control,LD,pearson,shared_expressed,23603,0.8894800508612084,4299,157,False,raw.X
RGC,Control_vs_LD,Control,LD,spearman,shared_expressed,23603,0.9034366802028563,4299,157,False,raw.X
RGC,Control_vs_LD,Control,LD,cosine,shared_expressed,23603,0.9114472270011902,4299,157,False,raw.X
RGC,Control_vs_NMDA,Control,NMDA,pearson,shared_expressed,23603,0.8943878254046671,4299,456,False,raw.X
RGC,Control_vs_NMDA,Control,NMDA,spearman,shared_expressed,23603,0.9125463738777532,4299,456,False,raw.X
RGC,Control_vs_NMDA,Control,NMDA,cosine,shared_expressed,23603,0.915155291557312,4299,456,False,raw.X
RGC,LD_vs_NMDA,LD,NMDA,pearson,shared_expressed,23603,0.9853357764688178,157,456,False,raw.X
RGC,LD_vs_NMDA,LD,NMDA,spearman,shared_expressed,23603,0.9549383062589473,157,456,False,raw.X
RGC,LD_vs_NMDA,LD,NMDA,cosine,shared_expressed,23603,0.9882320761680603,157,456,False,raw.X
RGC,Control_vs_LD,Control,LD,pearson,hvg_500,500,0.4306346419344139,4299,157,False,raw.X
RGC,Control_vs_LD,Control,LD,spearman,hvg_500,500,0.6067422930727135,4299,157,False,raw.X
RGC,Control_vs_LD,Control,LD,cosine,hvg_500,500,0.5772969126701355,4299,157,False,raw.X
RGC,Control_vs_NMDA,Control,NMDA,pearson,hvg_500,500,0.40054487137903877,4299,456,False,raw.X
RGC,Control_vs_NMDA,Control,NMDA,spearman,hvg_500,500,0.654206458951316,4299,456,False,raw.X
RGC,Control_vs_NMDA,Control,NMDA,cosine,hvg_500,500,0.5631504058837891,4299,456,False,raw.X
RGC,LD_vs_NMDA,LD,NMDA,pearson,hvg_500,500,0.8716813754226517,157,456,False,raw.X
RGC,LD_vs_NMDA,LD,NMDA,spearman,hvg_500,500,0.8747573045118702,157,456,False,raw.X
RGC,LD_vs_NMDA,LD,NMDA,cosine,hvg_500,500,0.8996632695198059,157,456,False,raw.X
RGC,Control_vs_LD,Control,LD,pearson,hvg_1000,1000,0.57535294383091,4299,157,False,raw.X
RGC,Control_vs_LD,Control,LD,spearman,hvg_1000,1000,0.7138563930995001,4299,157,False,raw.X
RGC,Control_vs_LD,Control,LD,cosine,hvg_1000,1000,0.6779553890228271,4299,157,False,raw.X
RGC,Control_vs_NMDA,Control,NMDA,pearson,hvg_1000,1000,0.5882878426419275,4299,456,False,raw.X
RGC,Control_vs_NMDA,Control,NMDA,spearman,hvg_1000,1000,0.7470720003057447,4299,456,False,raw.X
RGC,Control_vs_NMDA,Control,NMDA,cosine,hvg_1000,1000,0.6910209059715271,4299,456,False,raw.X
RGC,LD_vs_NMDA,LD,NMDA,pearson,hvg_1000,1000,0.9108541219509095,157,456,False,raw.X
RGC,LD_vs_NMDA,LD,NMDA,spearman,hvg_1000,1000,0.9057527925773103,157,456,False,raw.X
RGC,LD_vs_NMDA,LD,NMDA,cosine,hvg_1000,1000,0.9304574131965637,157,456,False,raw.X
RGC,Control_vs_LD,Control,LD,pearson,hvg_2000,2000,0.7029797068160001,4299,157,False,raw.X
RGC,Control_vs_LD,Control,LD,spearman,hvg_2000,2000,0.7814350759776197,4299,157,False,raw.X
RGC,Control_vs_LD,Control,LD,cosine,hvg_2000,2000,0.7656705379486084,4299,157,False,raw.X
RGC,Control_vs_NMDA,Control,NMDA,pearson,hvg_2000,2000,0.7154012922522445,4299,456,False,raw.X
RGC,Control_vs_NMDA,Control,NMDA,spearman,hvg_2000,2000,0.8115393379995943,4299,456,False,raw.X
RGC,Control_vs_NMDA,Control,NMDA,cosine,hvg_2000,2000,0.7777521014213562,4299,456,False,raw.X
RGC,LD_vs_NMDA,LD,NMDA,pearson,hvg_2000,2000,0.9475480871124827,157,456,False,raw.X
RGC,LD_vs_NMDA,LD,NMDA,spearman,hvg_2000,2000,0.9219556859560091,157,456,False,raw.X
RGC,LD_vs_NMDA,LD,NMDA,cosine,hvg_2000,2000,0.9575459361076355,157,456,False,raw.X
Rod,Control_vs_LD,Control,LD,pearson,shared_expressed,23526,0.7879994503122827,6384,886,False,raw.X
Rod,Control_vs_LD,Control,LD,spearman,shared_expressed,23526,0.8730329975242793,6384,886,False,raw.X
Rod,Control_vs_LD,Control,LD,cosine,shared_expressed,23526,0.8206837773323059,6384,886,False,raw.X
Rod,Control_vs_NMDA,Control,NMDA,pearson,shared_expressed,23526,0.6929485316571325,6384,2120,False,raw.X
Rod,Control_vs_NMDA,Control,NMDA,spearman,shared_expressed,23526,0.8560001774469723,6384,2120,False,raw.X
Rod,Control_vs_NMDA,Control,NMDA,cosine,shared_expressed,23526,0.7406052350997925,6384,2120,False,raw.X
Rod,LD_vs_NMDA,LD,NMDA,pearson,shared_expressed,23526,0.9138824466513584,886,2120,False,raw.X
Rod,LD_vs_NMDA,LD,NMDA,spearman,shared_expressed,23526,0.9565472219318722,886,2120,False,raw.X
Rod,LD_vs_NMDA,LD,NMDA,cosine,shared_expressed,23526,0.9277012944221497,886,2120,False,raw.X
Rod,Control_vs_LD,Control,LD,pearson,hvg_500,500,0.25116316844265907,6384,886,False,raw.X
Rod,Control_vs_LD,Control,LD,spearman,hvg_500,500,0.5641910089172036,6384,886,False,raw.X
Rod,Control_vs_LD,Control,LD,cosine,hvg_500,500,0.4147777557373047,6384,886,False,raw.X
Rod,Control_vs_NMDA,Control,NMDA,pearson,hvg_500,500,0.1642482213873131,6384,2120,False,raw.X
Rod,Control_vs_NMDA,Control,NMDA,spearman,hvg_500,500,0.5259129442719299,6384,2120,False,raw.X
Rod,Control_vs_NMDA,Control,NMDA,cosine,hvg_500,500,0.3474298417568207,6384,2120,False,raw.X
Rod,LD_vs_NMDA,LD,NMDA,pearson,hvg_500,500,0.7972298240184774,886,2120,False,raw.X
Rod,LD_vs_NMDA,LD,NMDA,spearman,hvg_500,500,0.9424839891806019,886,2120,False,raw.X
Rod,LD_vs_NMDA,LD,NMDA,cosine,hvg_500,500,0.8304996490478516,886,2120,False,raw.X
Rod,Control_vs_LD,Control,LD,pearson,hvg_1000,1000,0.41403284152342656,6384,886,False,raw.X
Rod,Control_vs_LD,Control,LD,spearman,hvg_1000,1000,0.6734482083416384,6384,886,False,raw.X
Rod,Control_vs_LD,Control,LD,cosine,hvg_1000,1000,0.5179292559623718,6384,886,False,raw.X
Rod,Control_vs_NMDA,Control,NMDA,pearson,hvg_1000,1000,0.3818183361302097,6384,2120,False,raw.X
Rod,Control_vs_NMDA,Control,NMDA,spearman,hvg_1000,1000,0.6550198261283064,6384,2120,False,raw.X
Rod,Control_vs_NMDA,Control,NMDA,cosine,hvg_1000,1000,0.4999941289424896,6384,2120,False,raw.X
Rod,LD_vs_NMDA,LD,NMDA,pearson,hvg_1000,1000,0.8549024006230534,886,2120,False,raw.X
Rod,LD_vs_NMDA,LD,NMDA,spearman,hvg_1000,1000,0.9493352395566587,886,2120,False,raw.X
Rod,LD_vs_NMDA,LD,NMDA,cosine,hvg_1000,1000,0.8746359944343567,886,2120,False,raw.X
Rod,Control_vs_LD,Control,LD,pearson,hvg_2000,2000,0.5242971464646563,6384,886,False,raw.X
Rod,Control_vs_LD,Control,LD,spearman,hvg_2000,2000,0.7504212635302777,6384,886,False,raw.X
Rod,Control_vs_LD,Control,LD,cosine,hvg_2000,2000,0.5923414826393127,6384,886,False,raw.X
Rod,Control_vs_NMDA,Control,NMDA,pearson,hvg_2000,2000,0.4055906116111119,6384,2120,False,raw.X
Rod,Control_vs_NMDA,Control,NMDA,spearman,hvg_2000,2000,0.7443787534351698,6384,2120,False,raw.X
Rod,Control_vs_NMDA,Control,NMDA,cosine,hvg_2000,2000,0.4969164729118347,6384,2120,False,raw.X
Rod,LD_vs_NMDA,LD,NMDA,pearson,hvg_2000,2000,0.8514849984478635,886,2120,False,raw.X
Rod,LD_vs_NMDA,LD,NMDA,spearman,hvg_2000,2000,0.9412886257030086,886,2120,False,raw.X
Rod,LD_vs_NMDA,LD,NMDA,cosine,hvg_2000,2000,0.8687819838523865,886,2120,False,raw.X
