cell_type,comparison,condition_a,condition_b,metric,gene_set,n_genes,similarity,n_cells_a,n_cells_b,low_cell_count_warning,expression_source
BC,Control_vs_NMDA,Control,NMDA,pearson,hvg_1000,1000,0.7183039231162375,62885,848,False,raw.X
BC,Control_vs_NMDA,Control,NMDA,spearman,hvg_1000,1000,0.8075465048063453,62885,848,False,raw.X
BC,Control_vs_NMDA,Control,NMDA,cosine,hvg_1000,1000,0.778012216091156,62885,848,False,raw.X
BC,LD_vs_NMDA,LD,NMDA,pearson,hvg_1000,1000,0.9441751308367318,545,848,False,raw.X
BC,LD_vs_NMDA,LD,NMDA,spearman,hvg_1000,1000,0.9466199317599823,545,848,False,raw.X
BC,LD_vs_NMDA,LD,NMDA,cosine,hvg_1000,1000,0.9523617029190063,545,848,False,raw.X
BC,Control_vs_LD,Control,LD,pearson,hvg_2000,2000,0.7415861586648961,62885,545,False,raw.X
BC,Control_vs_LD,Control,LD,spearman,hvg_2000,2000,0.8264744122377159,62885,545,False,raw.X
BC,Control_vs_LD,Control,LD,cosine,hvg_2000,2000,0.7778698205947876,62885,545,False,raw.X
BC,Control_vs_NMDA,Control,NMDA,pearson,hvg_2000,2000,0.7557004486074494,62885,848,False,raw.X
BC,Control_vs_NMDA,Control,NMDA,spearman,hvg_2000,2000,0.8422452705504312,62885,848,False,raw.X
BC,Control_vs_NMDA,Control,NMDA,cosine,hvg_2000,2000,0.7962222099304199,62885,848,False,raw.X
BC,LD_vs_NMDA,LD,NMDA,pearson,hvg_2000,2000,0.9528541231277771,545,848,False,raw.X
BC,LD_vs_NMDA,LD,NMDA,spearman,hvg_2000,2000,0.9453119340694146,545,848,False,raw.X
BC,LD_vs_NMDA,LD,NMDA,cosine,hvg_2000,2000,0.9582820534706116,545,848,False,raw.X
Cones,Control_vs_LD,Control,LD,pearson,shared_expressed,23816,0.7983255637011177,10127,372,False,raw.X
Cones,Control_vs_LD,Control,LD,spearman,shared_expressed,23816,0.8661387652792472,10127,372,False,raw.X
Cones,Control_vs_LD,Control,LD,cosine,shared_expressed,23816,0.820482611656189,10127,372,False,raw.X
Cones,Control_vs_NMDA,Control,NMDA,pearson,shared_expressed,23816,0.8402205654911592,10127,424,False,raw.X
Cones,Control_vs_NMDA,Control,NMDA,spearman,shared_expressed,23816,0.8923037003375349,10127,424,False,raw.X
Cones,Control_vs_NMDA,Control,NMDA,cosine,shared_expressed,23816,0.857517659664154,10127,424,False,raw.X
Cones,LD_vs_NMDA,LD,NMDA,pearson,shared_expressed,23816,0.9801730589050193,372,424,False,raw.X
Cones,LD_vs_NMDA,LD,NMDA,spearman,shared_expressed,23816,0.9190550756568134,372,424,False,raw.X
Cones,LD_vs_NMDA,LD,NMDA,cosine,shared_expressed,23816,0.9821450710296631,372,424,False,raw.X
Cones,Control_vs_LD,Control,LD,pearson,hvg_500,500,0.42550976616872227,10127,372,False,raw.X
Cones,Control_vs_LD,Control,LD,spearman,hvg_500,500,0.7587314041516322,10127,372,False,raw.X
Cones,Control_vs_LD,Control,LD,cosine,hvg_500,500,0.4750151038169861,10127,372,False,raw.X
Cones,Control_vs_NMDA,Control,NMDA,pearson,hvg_500,500,0.4870356593795181,10127,424,False,raw.X
