cell_type,comparison,condition_a,condition_b,metric,gene_set,n_genes,similarity
HC,Control_vs_LD,Control,LD,pearson,hvg_1000,1000,0.7891044272280705
HC,Control_vs_LD,Control,LD,spearman,hvg_1000,1000,0.6518929929503327
HC,Control_vs_LD,Control,LD,cosine,hvg_1000,1000,0.79660964012146
HC,Control_vs_NMDA,Control,NMDA,pearson,hvg_1000,1000,0.7484077110178035
HC,Control_vs_NMDA,Control,NMDA,spearman,hvg_1000,1000,0.6809206076180454
HC,Control_vs_NMDA,Control,NMDA,cosine,hvg_1000,1000,0.7635225653648376
MG,Control_vs_LD,Control,LD,pearson,hvg_1000,1000,0.8517107826313774
MG,Control_vs_LD,Control,LD,spearman,hvg_1000,1000,0.7293240946527023
MG,Control_vs_LD,Control,LD,cosine,hvg_1000,1000,0.8626313805580139
MG,Control_vs_NMDA,Control,NMDA,pearson,hvg_1000,1000,0.8466432689615379
MG,Control_vs_NMDA,Control,NMDA,spearman,hvg_1000,1000,0.727951877932749
MG,Control_vs_NMDA,Control,NMDA,cosine,hvg_1000,1000,0.8595314025878906
MGPC,Control_vs_LD,Control,LD,pearson,hvg_1000,1000,0.6785443412290224
MGPC,Control_vs_LD,Control,LD,spearman,hvg_1000,1000,0.7145515366561741
MGPC,Control_vs_LD,Control,LD,cosine,hvg_1000,1000,0.7131360173225403
MGPC,Control_vs_NMDA,Control,NMDA,pearson,hvg_1000,1000,0.7024127961577594
MGPC,Control_vs_NMDA,Control,NMDA,spearman,hvg_1000,1000,0.7468653193035814
MGPC,Control_vs_NMDA,Control,NMDA,cosine,hvg_1000,1000,0.7375514507293701
PR precursors,Control_vs_LD,Control,LD,pearson,hvg_1000,1000,0.6721199327904432
PR precursors,Control_vs_LD,Control,LD,spearman,hvg_1000,1000,0.6736230224212163
PR precursors,Control_vs_LD,Control,LD,cosine,hvg_1000,1000,0.6958329081535339
PR precursors,Control_vs_NMDA,Control,NMDA,pearson,hvg_1000,1000,0.6923449427385592
PR precursors,Control_vs_NMDA,Control,NMDA,spearman,hvg_1000,1000,0.7216999353804989
PR precursors,Control_vs_NMDA,Control,NMDA,cosine,hvg_1000,1000,0.7153091430664062
RGC,Control_vs_LD,Control,LD,pearson,hvg_1000,1000,0.7936421437309079
RGC,Control_vs_LD,Control,LD,spearman,hvg_1000,1000,0.7623141788465704
RGC,Control_vs_LD,Control,LD,cosine,hvg_1000,1000,0.8350688815116882
RGC,Control_vs_NMDA,Control,NMDA,pearson,hvg_1000,1000,0.8137097581660684
RGC,Control_vs_NMDA,Control,NMDA,spearman,hvg_1000,1000,0.7896366584058785
RGC,Control_vs_NMDA,Control,NMDA,cosine,hvg_1000,1000,0.8522711992263794
Rod,Control_vs_LD,Control,LD,pearson,hvg_1000,1000,0.7094825474718072
Rod,Control_vs_LD,Control,LD,spearman,hvg_1000,1000,0.6363285219879731
Rod,Control_vs_LD,Control,LD,cosine,hvg_1000,1000,0.7407568097114563
Rod,Control_vs_NMDA,Control,NMDA,pearson,hvg_1000,1000,0.36629020567711174
Rod,Control_vs_NMDA,Control,NMDA,spearman,hvg_1000,1000,0.6511996336562328
Rod,Control_vs_NMDA,Control,NMDA,cosine,hvg_1000,1000,0.4389875531196594
AC,Control_vs_LD,Control,LD,pearson,hvg_2000,2000,0.7812411425796947
AC,Control_vs_LD,Control,LD,spearman,hvg_2000,2000,0.8218642284972904
AC,Control_vs_LD,Control,LD,cosine,hvg_2000,2000,0.8362014293670654
AC,Control_vs_NMDA,Control,NMDA,pearson,hvg_2000,2000,0.799643412882137
AC,Control_vs_NMDA,Control,NMDA,spearman,hvg_2000,2000,0.8384156277112538
AC,Control_vs_NMDA,Control,NMDA,cosine,hvg_2000,2000,0.8491904735565186
BC,Control_vs_LD,Control,LD,pearson,hvg_2000,2000,0.5902179695147295
BC,Control_vs_LD,Control,LD,spearman,hvg_2000,2000,0.7402004570221364
BC,Control_vs_LD,Control,LD,cosine,hvg_2000,2000,0.6488552689552307
BC,Control_vs_NMDA,Control,NMDA,pearson,hvg_2000,2000,0.5904717466016627
BC,Control_vs_NMDA,Control,NMDA,spearman,hvg_2000,2000,0.7656827255650464
BC,Control_vs_NMDA,Control,NMDA,cosine,hvg_2000,2000,0.6544092893600464
Cones,Control_vs_LD,Control,LD,pearson,hvg_2000,2000,0.8392486646832024
Cones,Control_vs_LD,Control,LD,spearman,hvg_2000,2000,0.7285429963797159
