cell_type,Control,LD,NMDA
AC,0.10841901097514822,0.030560271646859084,0.09267213328127033
BC,0.49581335940456667,0.04869984809221696,0.05518677599895874
Cones,0.0798457802447332,0.0332409972299169,0.02759338799947937
HC,0.141833291282957,0.06183540344920025,0.06963425745151633
MG,0.0686498675413145,0.4320436064694844,0.30007809449433814
MGPC,0.011944935032168537,0.155750156375659,0.14792398802551088
PR precursors,0.009264223539800682,0.1446698239656867,0.13926851490303266
RGC,0.03389523148732181,0.014029130551335894,0.02967590784849668
Rod,0.050334300491989406,0.07917076221964078,0.13796693999739684
